phrase;adjective;nonun;note_to_phrase;adjective_definition;noun_definition
untrodden woodland;untrodden;woodland;;;
untroubled repose;untroubled;repose;;;
untuneful phrase;untuneful;phrase;;;
untutored mind;untutored;mind;;;
unusual audacity;unusual;audacity;;;
unutterable sadness;unutterable;sadness;;;
unvarnished feeling;unvarnished;feeling;;;
unwarranted limitation;unwarranted;limitation;;;
unwasting energies;unwasting;energies;;;
unwavering allegiance;unwavering;allegiance;;;
unwearied diligence;unwearied;diligence;;;
unwelcome alliance;unwelcome;alliance;;;
unwieldy bulk;unwieldy;bulk;;;
unwilling homage;unwilling;homage;;;
unwittingly mingled;unwittingly;mingled;;;
unwonted kindness;unwonted;kindness;;unusual;
unworldly foolishness;unworldly;foolishness;;;
unworthy alliance;unworthy;alliance;;;
unyielding nature;unyielding;nature;;;
uproarious laughter;uproarious;laughter;;;
upstart pretensions;upstart;pretensions;;;
useless fripperies;useless;fripperies;;;pretentious, showy
utmost scorn;utmost;scorn;;;
vacant stupidity;vacant;stupidity;;;
vacillating obedience;vacillating;obedience;;;
vacuous ease;vacuous;ease;;;
vagabondish spirit;vagabondish;spirit;;;
vagrant wandering;vagrant;wandering;;;
vaguely discursive;vaguely;discursive;;;
vain contemplation;vain;contemplation;;;
vainglorious show;vainglorious;show;;;
valid objection;valid;objection;;;
valuable acquisition;valuable;acquisition;;;
valueless assertion;valueless;assertion;;;
vampire tongue;vampire;tongue;;;
vanished centuries;vanished;centuries;;;
vantage ground;vantage;ground;;;
vapid generalities;vapid;generalities;;"lacking liveliness, interest; dull";
variable temperament;variable;temperament;;;
variegated career;variegated;career;;varied;
vast advantage;vast;advantage;;;
veering purpose;veering;purpose;;;
vehement panting;vehement;panting;;;
veiled insolence;veiled;insolence;;;
velvety lawn;velvety;lawn;;;
venerable placidity;venerable;placidity;;;
venomous passion;venomous;passion;;;
veracious journals;veracious;journals;;"honest; truthful; accurate; precise";
verbal audacities;verbal;audacities;;;
verbose manner;verbose;manner;;;
verdant hope;verdant;hope;;;
verifiable facts;verifiable;facts;;;
veritable triumph;veritable;triumph;;;
vernacular expression;vernacular;expression;;;
vernal charm;vernal;charm;;"resembling spring; fresh; youthful";
versatile grace;versatile;grace;;;
vexatious circumstances;vexatious;circumstances;;;
vicarious virtue;vicarious;virtue;;;
vigilant sensibility;vigilant;sensibility;;;
vigorous invective;vigorous;invective;;;abusive language
vile desecrater;vile;desecrater;;;
villainous inconsistency;villainous;inconsistency;;;
vindictive sentiment;vindictive;sentiment;;;
violent agitation;violent;agitation;;;
virgin grace;virgin;grace;;;
virile leadership;virile;leadership;;;
virtual surrender;virtual;surrender;;;
virtuous disdain;virtuous;disdain;;;
virulent prejudice;virulent;prejudice;;;
visible embarrassment;visible;embarrassment;;;
visionary dreamer;visionary;dreamer;;;
vital interpretation;vital;interpretation;;;
vitiated taste;vitiated;taste;;"reduce the value; corrupt morally";
vitriolic sneer;vitriolic;sneer;;;
vivacious excitement;vivacious;excitement;;;
vivid portrayal;vivid;portrayal;;;
vociferous appeal;vociferous;appeal;;;
voiceless multitude;voiceless;multitude;;;
volatile fragrance;volatile;fragrance;;;
volcanic suddenness;volcanic;suddenness;;;
voluble prose;voluble;prose;;"ready flow of speech; fluent";
voluminous biography;voluminous;biography;;;
voluntary relinquishment;voluntary;relinquishment;;;
voracious animosity;voracious;animosity;;;
votive wreath;votive;wreath;;;
vulgar prosperity;vulgar;prosperity;;;
vulnerable foe;vulnerable;foe;;;
wabbling enterprise;wabbling;enterprise;;wobbling;
waggishly sapient;waggishly;sapient;;;wise
wailing winds;wailing;winds;;;
wandering fancy;wandering;fancy;;;
waning popularity;waning;popularity;;;
wanton butchery;wanton;butchery;;;
warbling lute;warbling;lute;;;
warlike trappings;warlike;trappings;;;
warning prophecy;warning;prophecy;;;
warped purpose;warped;purpose;;;
warranted interference;warranted;interference;;;
wasteful prodigality;wasteful;prodigality;;;
wavering courage;wavering;courage;;;
waxwork sex;waxwork;sex;;;
wayward fancy;wayward;fancy;;;
weakly imaginative;weakly;imaginative;;;
wearisome wordiness;wearisome;wordiness;;;
wedded incompatibility;wedded;incompatibility;;;
weighty argument;weighty;argument;;;
weird fascination;weird;fascination;;;
welcoming host;welcoming;host;;;
well-turned period;well-turned;period;;;
weltering current;weltering;current;;;
whimsical touch;whimsical;touch;;;
whirling confusion;whirling;confusion;;;
whirring loom;whirring;loom;;;
whispering breeze;whispering;breeze;;;
whistling winds;whistling;winds;;;
whited sepulcher;whited;sepulcher;;;
wholesome aspirations;wholesome;aspirations;;;
wholly commendable;wholly;commendable;;;
wicked ingratitude;wicked;ingratitude;;;
wide signification;wide;signification;;;
widespread acclaim;widespread;acclaim;;;
wild extravagance;wild;extravagance;;;
willful waywardness;willful;waywardness;;;
willing allegiance;willing;allegiance;;;
willowy nothingness;willowy;nothingness;;;
wily antagonist;wily;antagonist;;;
winding pilgrimage;winding;pilgrimage;;;
windowless soul;windowless;soul;;;
winged fancies;winged;fancies;;;
winking stars;winking;stars;;;
winning plaintiveness;winning;plaintiveness;;;
winsome girlhood;winsome;girlhood;;;
wise dissertations;wise;dissertations;;;
wistful entreaty;wistful;entreaty;;;
withering scorn;withering;scorn;;;
witnessing approval;witnessing;approval;;;
witty expedient;witty;expedient;;;
wizard influence;wizard;influence;;;
woebegone countenance;woebegone;countenance;;;
woeful weariness;woeful;weariness;;;
wolfish tendency;wolfish;tendency;;;
womanlike loveliness;womanlike;loveliness;;;
wonderful affluence;wonderful;affluence;;;
wonted activity;wonted;activity;;usual;
wordy warfare;wordy;warfare;;;
worthy achievement;worthy;achievement;;;
wounded avarice;wounded;avarice;;;
wrathful pugnacity;wrathful;pugnacity;;;
wretched effeminacy;wretched;effeminacy;;;
wriggling disputant;wriggling;disputant;;;
writhing opponent;writhing;opponent;;;
yawning space;yawning;space;;;
yearning tenderness;yearning;tenderness;;;
yielding disposition;yielding;disposition;;;
youthful ambition;youthful;ambition;;;
zealous devotion;zealous;devotion;;;
zigzag method;zigzag;method;;;
zoologically considered;zoologically;considered;;;
